adlist_id,user_fingerprint,,user_id_encode,item_id_encode
50655594,4d588d34-b005-4e72-8144-c9f9b8fd842f,,26,167
50715653,61e42f0b-8b7c-4f9f-a5e0-2a2db94bfcdf,,30,168
50715653,6f722a30-15e6-4adf-8865-7c2ecd746650,,37,168
50760283,425a2c49-db51-4375-ba74-6efa17754955,,19,169
50760650,32593e71-f453-40bb-89eb-943b0bcd5dee,,12,170
50872605,bc2eadf7-2b57-4305-b2ec-202abbf9a475,,58,171
50913692,3ce0978d-b387-43d4-93d7-8bf06bfc3ccd,,18,172
50923304,4d588d34-b005-4e72-8144-c9f9b8fd842f,,26,173
50944415,81580833-5a48-4611-bcbc-f7f7778fcab0,,44,174
50962839,9c2439d8-f296-4c3c-b4dd-132a2915dbff,,52,175
51026002,46fbb6b9-c246-4b62-948e-75942dd8e31b,,22,176
51031462,425a2c49-db51-4375-ba74-6efa17754955,,19,177
51069537,926da28c-000f-4676-a2ac-a24c348c0827,,48,178
51076420,576c60f8-adf7-4f32-9af7-a122319fc6f4,,28,179
51082815,16076e37-856f-44b2-b945-9abd82b2abc1,,7,180
51092316,4d588d34-b005-4e72-8144-c9f9b8fd842f,,26,181
51169481,3618f309-2641-4646-ae4f-c3a7443df631,,15,182
51187525,3618f309-2641-4646-ae4f-c3a7443df631,,15,183
51188850,32593e71-f453-40bb-89eb-943b0bcd5dee,,12,184
51306465,3ce0978d-b387-43d4-93d7-8bf06bfc3ccd,,18,185
51320550,66b03ed0-809f-4fc4-8cd7-d7e3bf332e0b,,32,186
51379308,9c2439d8-f296-4c3c-b4dd-132a2915dbff,,52,187
51456598,66b03ed0-809f-4fc4-8cd7-d7e3bf332e0b,,32,188
51464957,cbce8bc3-e358-4a20-873b-dd60b1df6aa5,,61,189
51500416,71b191f9-dad8-4ebf-833e-9c52777d9996,,38,190
